Measure,Group,Day,Value
C/T-unit,IW,Day 1,1.15
C/T-unit,IW,Day 1,1.15
C/T-unit,IW,Day 1,1.15
C/T-unit,IW,Day 1,1.06512568254312
C/T-unit,IW,Day 1,1.15
C/T-unit,IW,Day 1,1.02
C/T-unit,IW,Day 1,1.02
C/T-unit,IW,Day 1,1.02
C/T-unit,IW,Day 1,1.0857280208401994
C/T-unit,IW,Day 1,1.15
C/T-unit,IW,Day 1,1.15
C/T-unit,IW,Day 1,1.02
C/T-unit,IW,Day 1,1.15
C/T-unit,IW,Day 1,1.1237180246286453
C/T-unit,IW,Day 1,1.0972122957571067
C/T-unit,IW,Day 1,1.02
C/T-unit,IW,Day 1,1.0847353629946987
C/T-unit,IW,Day 1,1.02
C/T-unit,IW,Day 1,1.073680604670905
C/T-unit,IW,Day 1,1.15
C/T-unit,IW,Day 1,1.02
C/T-unit,IW,Day 1,1.15
C/T-unit,IW,Day 1,1.15
C/T-unit,IW,Day 1,1.02
C/T-unit,IW,Day 1,1.15
C/T-unit,IW,Day 1,1.02
C/T-unit,IW,Day 1,1.15
C/T-unit,IW,Day 1,1.02075995921354
C/T-unit,IW,Day 1,1.15
C/T-unit,IW,Day 1,1.15
C/T-unit,IW,Day 1,1.02
C/T-unit,IW,Day 1,1.050522555324356
C/T-unit,IW,Day 1,1.15
C/T-unit,IW,Day 1,1.1244823783492608
C/T-unit,IW,Day 1,1.02
C/T-unit,IW,Day 1,1.02
C/T-unit,IW,Day 1,1.15
C/T-unit,IW,Day 1,1.02
C/T-unit,IW,Day 1,1.02
C/T-unit,IW,Day 1,1.15
C/T-unit,IW,Day 1,1.02
C/T-unit,IW,Day 1,1.02
C/T-unit,IW,Day 1,1.0669714148729634
C/T-unit,IW,Day 1,1.15
C/T-unit,IW,Day 1,1.02
C/T-unit,IW,Day 1,1.15
C/T-unit,IW,Day 1,1.15
C/T-unit,IW,Day 1,1.15
C/T-unit,IW,Day 1,1.1328349625212497
C/T-unit,IW,Day 1,1.02
C/T-unit,IW,Day 1,1.15
C/T-unit,IW,Day 1,1.15
C/T-unit,IW,Day 1,1.15
C/T-unit,IW,Day 1,1.02
C/T-unit,IW,Day 1,1.02
C/T-unit,IW,Day 1,1.02
C/T-unit,IW,Day 1,1.1030651820175397
C/T-unit,IW,Day 1,1.1435554378326767
C/T-unit,IW,Day 1,1.15
C/T-unit,IW,Day 1,1.02
C/T-unit,IW,Day 1,1.0712939469268095
C/T-unit,IW,Day 1,1.02
C/T-unit,IW,Day 1,1.030075149469814
C/T-unit,IW,Day 1,1.15
C/T-unit,IW,Day 1,1.0943519963335067
C/T-unit,IW,Day 1,1.02
C/T-unit,IW,Day 1,1.02
C/T-unit,IW,Day 1,1.15
C/T-unit,IW,Day 1,1.02
C/T-unit,IW,Day 1,1.0571347370422817
C/T-unit,IW,Day 1,1.02
C/T-unit,IW,Day 1,1.02
C/T-unit,IW,Day 1,1.15
C/T-unit,IW,Day 1,1.15
C/T-unit,IW,Day 1,1.02
C/T-unit,IW,Day 1,1.0838210624745739
C/T-unit,IW,Day 1,1.054471237365032
C/T-unit,IW,Day 1,1.0407335512505311
C/T-unit,IW,Day 1,1.02
C/T-unit,IW,Day 1,1.0459649770006725
C/T-unit,IW,Day 1,1.15
C/T-unit,IW,Day 1,1.15
C/T-unit,IW,Day 1,1.02
C/T-unit,IW,Day 1,1.15
C/T-unit,IW,Day 1,1.02
C/T-unit,IW,Day 1,1.065680092427986
C/T-unit,IW,Day 1,1.0398628598886237
C/T-unit,IW,Day 1,1.02
C/T-unit,IW,Day 1,1.15
C/T-unit,IW,Day 1,1.15
C/T-unit,IW,Day 1,1.15
C/T-unit,IW,Day 1,1.02
C/T-unit,IW,Day 1,1.0626822569336334
C/T-unit,IW,Day 1,1.0314710559028606
C/T-unit,IW,Day 1,1.15
C/T-unit,IW,Day 1,1.15
C/T-unit,IW,Day 1,1.079034836591919
C/T-unit,IW,Day 1,1.02
C/T-unit,IW,Day 1,1.02
C/T-unit,IW,Day 1,1.02
CoordC/T-unit,IW,Day 1,0.62
CoordC/T-unit,IW,Day 1,0.36
CoordC/T-unit,IW,Day 1,0.6024197441919665
CoordC/T-unit,IW,Day 1,0.62
CoordC/T-unit,IW,Day 1,0.36
CoordC/T-unit,IW,Day 1,0.62
CoordC/T-unit,IW,Day 1,0.36
CoordC/T-unit,IW,Day 1,0.62
CoordC/T-unit,IW,Day 1,0.36
CoordC/T-unit,IW,Day 1,0.36
CoordC/T-unit,IW,Day 1,0.62
CoordC/T-unit,IW,Day 1,0.62
CoordC/T-unit,IW,Day 1,0.62
CoordC/T-unit,IW,Day 1,0.4339145917736785
CoordC/T-unit,IW,Day 1,0.36
